TimeStamp,Is_Participate,PosterScore,PhraseScore,ChooseHigh_Poster,ChooseLow_Poster,ChooseHigh_Phrases1,ChooseHigh_Phrases2,ChooseHigh_Phrases3,Age,Sex,ThrowOut,Awareness_Tra,Awareness_Env,Thoughts,Acton
8/21/2024 11:19:23,Yes,70,90,3,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,female,Yes,5,4,,
8/21/2024 11:19:27,Yes,50,10,4,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,70dai,male,Yes,5,5,,
8/21/2024 11:19:36,Yes,80,50,2,3,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,other,other,other,4,4,,
8/21/2024 11:19:47,Yes,70,80,4,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60dai,female,Yes,3,3,,
8/21/2024 11:20:14,Yes,55,35,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,male,Yes,4,4,,
8/21/2024 11:20:15,Yes,80,70,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,5,3,興味深かった,ゴミ袋が破けないように入れ過ぎない。
8/21/2024 11:20:16,Yes,70,70,2,3,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,male,Yes,4,4,,
8/21/2024 11:20:24,Yes,60,90,3,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,30dai,female,Yes,5,4,ゴミの分別は個人個人が気をつけるだけでできる簡単な事なのに、なぜこれほど大変な思いをして、ポスターなどを作る必要があるのか不思議です。一人一人がルールに従ってきちんと分別するべきだと感じました。,最近ではスーパーなどでも簡単にリサイクルを出せる体制が整っているので、捨てる前にきちんと分別して、リサイクルに出せるものは買い物のついでに持っていったりしています。
8/21/2024 11:20:48,Yes,4,35,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,40dai,female,Yes,4,3,あらためてゴミの分別を見直そうと思いました。,
8/21/2024 11:21:20,Yes,40,50,2,3,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,male,No,4,3,紙に関する事が多かったが紙の種類によっては再利用できない紙も存在する。,地方行政に従ったゴミの分別をなるべく実行している。
8/21/2024 11:21:21,Yes,10,60,2,1,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,5,5,,
8/21/2024 11:22:14,Yes,80,100,3,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,5,4,,なるべくゴミを減らす、分別する
8/21/2024 11:22:15,Yes,25,10,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,ゴミの分別は大事,当たり前のことを普通にやる
8/21/2024 11:22:43,Yes,60,15,2,1,資源ごみは燃やすごみとして分別されるものではありません。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,3,3,,
8/21/2024 11:22:52,Yes,60,58,4,1,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,20dai,male,Yes,3,3,,
8/21/2024 11:22:56,Yes,3,7,2,4,紙は燃えるごみに分別しないでください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,female,Yes,4,5,,
8/21/2024 11:22:57,Yes,80,50,1,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,100点満点で点数を判断するのは難しい。,
8/21/2024 11:23:12,Yes,8,70,4,1,多くの資源ごみが燃やすごみとして分別されています。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,male,Yes,5,5,,
8/21/2024 11:23:18,Yes,60,30,3,1,多くの資源ごみが燃やすごみとして分別されています。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,40dai,male,Yes,4,4,環境資源の大切さ,分別できるものはきちんとする
8/21/2024 11:23:40,Yes,4,9,2,3,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,50dai,female,No,3,2,細かい分別はストレスになる,
8/21/2024 11:23:42,Yes,6,8,2,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,70dai,female,Yes,3,4,,
8/21/2024 11:24:43,Yes,40,50,2,4,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,4,3,,
8/21/2024 11:24:44,Yes,6,6,3,2,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は燃えるごみに分別しないでください。,50dai,male,Yes,4,3,,
8/21/2024 11:24:53,Yes,50,65,3,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,male,Yes,4,3,,
8/21/2024 11:25:39,Yes,80,100,2,1,多くの資源ごみが燃やすごみとして分別されています。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,male,Yes,3,4,,
8/21/2024 11:25:40,Yes,63,88,2,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,male,Yes,2,2,,
8/21/2024 11:25:45,Yes,6,7,2,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は燃えるごみに分別しないでください。,70dai,female,Yes,3,4,,
8/21/2024 11:25:54,Yes,80,75,1,2,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,50dai,female,Yes,4,3,100点満点で点数をつけるのは難しい。,
8/21/2024 11:25:54,Yes,30,30,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,10dai,female,Yes,3,3,,
8/21/2024 11:27:02,Yes,50,83,2,4,多くの資源ごみが燃やすごみとして分別されています。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,60dai,male,Yes,4,3,,
8/21/2024 11:27:07,Yes,90,80,4,1,紙は資源ごみに分別してください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,70dai,male,No,4,4,勉強になりました。,可能な限りゴミが出ないようにしている。
8/21/2024 11:27:41,Yes,90,60,4,1,紙は資源ごみに分別してください。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,60dai,male,Yes,5,4,資源は大切に！,
8/21/2024 11:27:43,Yes,8,8,3,1,紙は燃えるごみに分別しないでください。,多くの資源ごみが燃やすごみとして分別されています。,紙は資源ごみに分別してください。,40dai,female,No,4,4,,
8/21/2024 11:27:51,Yes,30,30,2,4,資源ごみは燃やすごみとして分別されるものではありません。,資源ごみは燃やすごみとして分別されるものではありません。,紙は資源ごみに分別してください。,10dai,female,Yes,3,3,,
